Text,Label
ധർമ്മം ധർമ്മം ധർമ്മം തരണേ അതാണോടാ ഈ ധർമ്മ എത് കേട്ടിട്ട് അങ്ങനേ തോന്നുന്നില്ലല്ലോ,R
നീയെന്താ മലയാളത്തിൽ തൊലിക്കുന്ന വന്നിരുന്നു കൊണ്ട്,P
നിങ്ങൾ നോക്കിക്കോളൂ അമിത്ഷായുടേ എത് ഫോട്ടോയും അങ്ങേർ എരിക്കുന്ന മുറിയിൽ ആണേങ്കിൽ അദ്ദേഹത്തിൻറെ ഹോം മിനിസ്റ്റർ എന്ന മുറിയിൽ അദ്ദേഹത്തിൻറെ തലയ്ക്ക് മുകളിലുള്ളത് ഗാന്ധിയുടേ ഫോട്ടോ അല്ല ഈ സവർക്കറിന്റെ പാഠമാണ്,P
അല്ലേങ്കിൽ ചനറൽ ന്യൂട്രാലിറ്റി കൊണ്ടുവരുന്ന സമയത്ത് എല്ലാവരും ട്രാൻസ്ചെൻഡർ വ്യക്തികളോ അല്ലേങ്കിൽ ഗേ വ്യക്തികളോ അല്ലേങ്കിൽ മറ്റു സെക്സ്വാലിറ്റിയിലുള്ള ആളുകൾ അതുപോലേ ആകുമോ അല്ലേങ്കിൽ സമൂഹത്തിൽ നാളെ പ്രക്രിയേഷൻ സാധ്യമാകുമോ അല്ലേങ്കിൽ നമ്മുടേ ലോകം തന്നേ എല്ലാതാകുമോ,G
നമ്മുടേ ടിപ്പുസുൽത്താൻ എന്ന് പറഞ്ഞ കൊള്ളക്കാരൻ,R
എവിടേ ഹിന്ദുവിനേ അവഗണിച്ചുകൊണ്ട് അപമാനിച്ചുകൊണ്ട് അവഹേളിച്ചുകൊണ്ട് ആകേപിച്ചുകൊണ്ട് മുന്നോട്ടുപോകുന്ന ഭരണകൂടങ്ങൾ ഒർക്കേണ്ടതുണ്ട്,R
എന്തു ചേയ്യണമേന്ന് ധാരണയില്ലാത്ത ആളുകളാണ് എതിനകത്ത് ഒള്ളത് സ്കൂളിൽ പോയിട്ടുള്ള ആളുകൾ എത്ര പേരുണ്ടേന്ന് എതിന് അകത്ത് അറിയാം കള്ള സർട്ടിഫിക്കറ്റ് കൊണ്ട് ഡിഗ്രി സർട്ടിഫിക്കറ്റ് കൊണ്ട് പ്രധാനമന്ത്രി നിൽക്കുന്നത്,P
ഒറക്കം കുറഞ്ഞു കഴിഞ്ഞാൽ അത് മുഖത്ത് വേറെ തന്നേ കാണും എപ്പോഴും ഈ കാരി ആ കൂടേ അങ്ങനേ ഒരു കീണിച്ച അവസ്ഥ,N
ക്യൂ അത് എന്താണേന്ന് ഒള്ളത് അത് വിചിത്രമായ അതിവിശാലമായ അനുചതമായ വിചിത്രം എന്ന വാക്കിൻറെ അർത്ഥം നയ ലൈംഗികതയെ ഒൾക്കൊള്ളുക,G
എന്തുപറഞ്ഞാലും അ ക്രൂരതയെ വച്ചുകൊണ്ട് വിശുദ്ധ എസ്ലാമിനേയോ അല്ലാഹു അഫ്സലനേയോ വിലയിരുത്തുക എന്നത് ഭീമാപദമാണ്,R
നിങ്ങൾ എൽചിബിടി അംഗീകരിക്കുമോ ഞാൻ പറഞ്ഞു ഞാൻ അംഗീകരിക്കില്ല എന്ന്,G
മറ്റുള്ളവർക്ക് എന്തു പറഞ്ഞാലും നമ്മൾക്ക് ശരിയെന്ന് തോന്നുന്നത് മാത്രം ചേയ്യുക കാരണം അനന്തരഫലങ്ങൾ നേരിടേണ്ടതും നമ്മൾ തന്നേയാണ്,N
