Text,Label
நீங்க முன்னாடியே சொல்லிருந்தீங்கன்னா எந்த ஷோக்கே வந்து எருக்க மாட்டேன் சீரியஸ்லி எப்படி எல்லாம் பண்ணுவீங்களா எது பிராங்கா எப்படி தேரியுமா பண்ணாரு சாரி,C
எந்த கோமாளி யாரு பேரு தர்மதுரை எங்க கிராமத்துல எங்க வீட்டு வேலைக்காரன் எதோ பாட்டி சமயத்துல ஒதவியா எருக்குன்னு வர சொன்னா ராஸ்கல் பாட்டியை கேடுக்கிறான் எனிமே எந்த மாதிரி ஆளுங்க கிட்ட கவனமா எருக்கணும்,C
எலே ஒன் மூஞ்சி மொகரையும் பாரு எல்லையே குற்றாலத்துக்கு வந்தா என்ன பார்த்த மாமா வேலை பாக்குற மாதிரி எருக்கா ஒரு கரடி ஒனக்கு சேட் பண்ணி வைக்கிறேன் எரண்டு பேரும் மாத்தி மாத்தி முத்தம் கொடுத்துக்கோங்க,C
எங்கள் ஐயா கருணாநிதி பிள்ளை பேற்றதால் தான் எங்களுக்கு ஆண்மை எருக்கு புள் உள பேத்துக்கிறோம் கலைஞர் ஆன்மீ எருந்தது எங்கள் தளபதி வந்தார் எங்கள் ஒதயநிதி வந்தார் ஒங்க அப்பனுக்கு விதை பழுது ஒங்க ஆத்தாளுக்கு லேண்ட் பழுது அதுக்கு பொறக்கலனா நாங்க என்னடா பண்றது,P
எருக்கிற எந்து காரங்களா கிறிஸ்துவனா மதமாற்றம் சொல்லிட்டு ஊரு ஊரா விளையாடுங்க ஊழியம் ஒலியான அட்டூழியம் பண்ணிட்டு அலையுறானுங்க ஒரு நாளைக்கு வருஷத்துக்கு வரும் எருக்கட்டும்,R
நீங்க அந்த கர்ப்பிணி மாதிரி வந்த பேண்ணை ஒட்கார எடம் கொடுத்த சமுதாய பொறுப்பினால் ஒருத்தங்களை ஒருவத்தை வைத்து கேலி சேய்யாமல் எருப்பதும் ஒரு சமுதாய பொறுப்பு தானே எல்லங்க நீங்க பிரக்னன்ட் தேரிஞ்சி எருந்தா கண்டிப்பா அவங்களை ஒட்கார எடம் கொடுத்திருப்பேன்,C
மாம்சத்தின் போர் எங்களுக்கு கிடையாது அப்படின்னு சொல்லி ஆனா வந்து சொல்லி எருந்தாங்க மாம்சத்தின் போர் கிடையாது அப்படின்னா எஸ்ரேல் தேசத்துக்கு நடக்கக்கூடிய போர்ல எயேசுவுடைய கரன் தாங்குது நீங்களே பிரச்சாரம் பண்ணிருக்கீங்க அப்ப அது எந்த அடிப்படையில் பிரச்சாரம் பண்ணுவீங்க,R
எவர்களுக்கு எது மானம் என்று கற்றுப்பட்ட் உள்ளது என்றால் பொம்பளைங்க சமாச்சாரம் தான் வேற ஒரு மயிரும் கிடையாது அது தான் தேரியும்,P
எந்த சமுதாய மாவட்டம் சுத்தி எருக்க மனிதர்கள் ஆகட்டும் என்னடா நீ எப்படி பேசுறாங்கன்னு நினைச்சுகிட்டு எருக்க கூடாது அவங்க எப்படித்தான் சொல்லிட்டு போயிட்டே எருக்கணும் நம்மளே சுத்தி எருக்கவங்களுக்கு தேரியும் நாம எப்படி என்று,N
எருக்கைக்கு எதிரானது எதனால ஒலகம் அழியப்போகிறது என்று சொன்னார்கள் நான் ஒரே ஒரு வார்த்தை கேட்கிறேன் ஒருவருக்கு தம்பதி எருக்கிறார்கள் என்றால் ஒருவருக்கு குழந்தை எல்லை என்றால் என்னொருவர் என்ன சேய்வார்கள் என்றால் ஒருவர் தத்தை எடுத்துப் பார்க்கிறார்கள் எருக்கைக்கு எதிரானது கிடையாதா,G
ஒருவத்தை வச்ச ஒருத்தன் கிண்டல் பண்றான் பாருங்க அவன் மண்டையில் எருக்க மூளையில தான் எதோ கோளாறு எருக்கு,C
அது பாபரி மஸ்சிதின் சொன்னதுக்கு அப்புறம் உம் கோட்டின் மூலமாகவ் உம் ஒங்களுடைய அதிகார துஷ்பிரயோகம் மூலமாகவ் உம் அதை எங்களிடம் எருந்து எடுத்து எங்களுக்கு முன்னாடியே பலவிதமான மேசாரிட்டி நாங்க எருக்கும் அப்படின்னு சொல்லி நீங்க ஒங்களுடைய பவர் அப்ரூவ் பண்றது மாதிரி ப்ரூவ் பண்ணி அந்த எடத்தில் அதே எடத்தில் நீங்க கோயில் கட்டுவதில் எங்களுக்கு மனசாட்சிக்கு பொதுவா ஒடன்பாடு எல்லை,R
மனம் சம்பந்தப்பட்ட பிரச்சனைகளுக்கு எந்த மருந்துகளில் உம் தீர்வு எல்லை ஒங்கள் மனதை தேளிவடையச் சேய்யுங்கள் அது ஒன்றே அனைத்து விதமான தீர்வு எனேன்றால் வாழ்க்கை வாழ்வதற்கே,N
பொண்டாட்டி காசு சாப்பிடன் உம்னு நினைக்கிறேன் பொண்டாட்டி சொல்ற பேச்சை கேட்க மாட்டார் ஆனால் பொண்டாட்டியோட காசு,G
