Text,Label
చీ నీయమ్మ జీవితం ఎవడో వేడిబుర్రపైన డొమెక్స్ ఇచ్చుకొని దెంగినట్టున్నాడు అందుకే ఇలా ఆడ్ గా బెహావేచేస్తునాడు నిజంగానే రేపు పొద్దున్న హార్పిక్ ని నీళ్లలోని కోలుకొని బ్ల్యూఎవెర్య్ అని,C
లైక్ కొట్టమని అడిగానా నచ్చితే లైక్ కొట్టండి లేకపోతే అవతలికి దెంగేయండి,C
చాలా ఇంపార్టెంట్ పాయింట్ ఏంటి అంటే మీరు లోపల ఎక్కడో గృహం లో చదువుకోవాలి అని నమాజ్ ఇండియా లో మసీద్ లో లేడీస్ కి ప్లేస్ ఎక్కడ ఉంటది,G
గుద్ద ముయ్యి నువ్వు లంజ అంత చేసిదెంగి మళ్ళా మాట్లాడతావ్ నువ్వు,C
భగవంతుడు పైన కాదు ఎక్కడో ఇక్కడ ఉన్నాడు అక్కడ ఉన్నాడు అంతటా నిండి ఉన్నాడనేటువంటిది ఆ సత్యాన్ని బాబా చెప్పినటువంటి వాఖ్యాలని మనం గమనిస్తే బాబా ఆయన సొంతగా ఏదో కల్పించి రాసింది కాదు ఆయన గ్రందాల్లో శాస్త్రాల్లో ఉండే వాఖ్యల్నే ఆయనకి విన్నది తెల్సుకున్నది లేదా ఆయనకనిపించింది అలవోకగా సబ్కా మాలిక్ ఏక్ అన్నారు చాల అద్భుతమైనటువంటి వాక్యం,N
మా ఇంట్లో అడ్డోళ్లు ఇలాంటి బట్టలు వేసుకోరు అంటారు లేదా ఇలాంటి బట్టలు వేసుకుంటే మొగ్గలు మీద పదరా,G
లంజాకొడకా లంజాకొడకా లంజాకొడకా లంజాకొడకా లంజాకొడకా లంజాకొడకా మూసుకో రా లంజాకొడకా లంజాకొడకా,C
మసీద్ ప్రారంభో త్సవంలో గ్రామంలోని అన్ని మతాలువారు పాల్గున్నారు వాళ్లకి తోచిన సహాయం అందించారు నీళ్లు తెచ్చారు కట్టెలు కావాలంటే డబ్బులు తీసుకోకుండానే ఒక మిత్రుడు వాటిని తీసుకెళ్లామని చెప్పారు,N
మలిలా అంటేనే ఆహ్ ఎం లో నే ఉంది మౌల్టి ట్యాంలెంటెడ్ అనిచెపి మల్టీ టాస్కింగ్ అని చేపి సో ఎనో బజఠలు చక్కపెడుతూనే వాళ్ళ కెరీర్ లో కూడా చాల ముందుకు ఇది అంట సాదం ఏమిటి అంటే వాళ్ళ చురునవ్వు వాళ్ళ చుర్రునవే వాళ్లకు ఆభరణం అదే వాళ్లకు ఆత్మసాయియం ఎంత పెద్ద ప్రయాణం అయిన చిన్న అడుగుతో సాద్యం అంటార్కద వాళ్ళు చిన్న చిన్నగా ఇంట్లో పన్నులు చక్కపెట్టుకుంటూ పిల్లని చూసుకుంటూ చక్కగా ముందుకు వెళ్తూ అని రంగాల్లో కూడా రాణిస్తున్నారు ప్రతి మహిళా కూడా,N
ఆడపిల్లలు మీరు సర్దుకొంది మీరు నోరుమూసుకొని ఊరుకోండి ఇంట్లో పడుందండీ పరువుకు చుడండి,G
వెళ్లి నీ బాస్ మొడ్డగుదువు సాలా,C
ఈ సవలింగ గళ్లలోనే మానభంగాలు కూడా తయారయ్యాయి,G
అసలు ఎల్జీబీటీఖ్యు అంటే ఏమిటి చాలామందికి దీని అబ్రివేటెడ్ ఫారం తెలియదు సో వాళ్ళ కోసం నేను చెప్తున్నాను ఎల్జీబీటీక్కు అంటే లెస్బియన్ గే బైసెక్సుల్ టర్నస్గెండెర్ అండ్ క్యూర్ సో ఈ కమ్యూనిటీ అనాది వెళ్లగా ఆలోచించే వాళ్ళ కోసం ఏర్పడిన ఒక కమ్యూనిటీ సో మన దేశంలో అనో అనో కమ్యూనిటీస్ ఉన్నాయి అందులో ఇది ఒక కమ్యూనిటీ సో దీనిని ఫిఫ్రెంట్ గ వేరేలాగా విరుదంగా చూడాలశిన అవసరం లేదు,N
నేను కోరుకునేది కూడా బాబావారిని అపార్దం చేస్కునేవాళ్ళు దయచేసి తగ్గించుకోండి అలాగనే బాబా అంటే ఏమిటంటే బాబాయే దేవుడు ఇంకెవడు దేవుడులేరని ఏ బాబా భక్తులన్న అది అంతకంటే పొరపాటు ఏదీ ఉండదు ఎందుకునంటే బాబాకంటే ముందు ఈ సంస్కృతి అలరారుతు వస్తున్నది అందులో బాబా ఒక విశిష్టంగా ఒక మహాత్ముడిగా మనందరికీ ఒక అద్భుతమైన మార్గదర్శనం చేశారు,N
